marca_tiempo,id_ruta,nombre_ruta,dia_semana,numero_dia,hora,intervalo_min,pasajeros,es_hora_pico,es_fin_semana,es_quincena,tipo_ruta,popularidad,tiene_retraso
2025-09-01 00:00:00,1,Alcalde Díaz-Transístmica-Directo-Albrook,Lunes,0,0,20,32,False,False,False,urbana,1.1,False
2025-09-01 00:20:00,1,Alcalde Díaz-Transístmica-Directo-Albrook,Lunes,0,0,21,12,False,False,False,urbana,1.1,False
2025-09-01 00:41:00,1,Alcalde Díaz-Transístmica-Directo-Albrook,Lunes,0,0,17,13,False,False,False,urbana,1.1,False
2025-09-01 00:58:00,1,Alcalde Díaz-Transístmica-Directo-Albrook,Lunes,0,0,21,29,False,False,False,urbana,1.1,False
2025-09-01 01:19:00,1,Alcalde Díaz-Transístmica-Directo-Albrook,Lunes,0,1,23,7,False,False,False,urbana,1.1,False
2025-09-01 01:42:00,1,Alcalde Díaz-Transístmica-Directo-Albrook,Lunes,0,1,21,20,False,False,False,urbana,1.1,False
2025-09-01 02:03:00,1,Alcalde Díaz-Transístmica-Directo-Albrook,Lunes,0,2,18,0,False,False,False,urbana,1.1,False
2025-09-01 02:21:00,1,Alcalde Díaz-Transístmica-Directo-Albrook,Lunes,0,2,22,12,False,False,False,urbana,1.1,False
2025-09-01 02:43:00,1,Alcalde Díaz-Transístmica-Directo-Albrook,Lunes,0,2,20,23,False,False,False,urbana,1.1,False
2025-09-01 03:03:00,1,Alcalde Díaz-Transístmica-Directo-Albrook,Lunes,0,3,13,20,False,False,False,urbana,1.1,False
2025-09-01 03:16:00,1,Alcalde Díaz-Transístmica-Directo-Albrook,Lunes,0,3,14,19,False,False,False,urbana,1.1,False
2025-09-01 03:30:00,1,Alcalde Díaz-Transístmica-Directo-Albrook,Lunes,0,3,16,14,False,False,False,urbana,1.1,False
2025-09-01 03:46:00,1,Alcalde Díaz-Transístmica-Directo-Albrook,Lunes,0,3,19,0,False,False,False,urbana,1.1,False
2025-09-01 04:05:00,1,Alcalde Díaz-Transístmica-Directo-Albrook,Lunes,0,4,41,35,False,False,False,urbana,1.1,True
2025-09-01 04:46:00,1,Alcalde Díaz-Transístmica-Directo-Albrook,Lunes,0,4,36,11,False,False,False,urbana,1.1,True
2025-09-01 05:22:00,1,Alcalde Díaz-Transístmica-Directo-Albrook,Lunes,0,5,23,9,False,False,False,urbana,1.1,True
2025-09-01 05:45:00,1,Alcalde Díaz-Transístmica-Directo-Albrook,Lunes,0,5,20,24,False,False,False,urbana,1.1,True
2025-09-01 06:05:00,1,Alcalde Díaz-Transístmica-Directo-Albrook,Lunes,0,6,19,14,True,False,False,urbana,1.1,True
2025-09-01 06:24:00,1,Alcalde Díaz-Transístmica-Directo-Albrook,Lunes,0,6,22,0,True,False,False,urbana,1.1,True
2025-09-01 06:46:00,1,Alcalde Díaz-Transístmica-Directo-Albrook,Lunes,0,6,20,60,True,False,False,urbana,1.1,True
2025-09-01 07:06:00,1,Alcalde Díaz-Transístmica-Directo-Albrook,Lunes,0,7,15,32,True,False,False,urbana,1.1,True
2025-09-01 07:21:00,1,Alcalde Díaz-Transístmica-Directo-Albrook,Lunes,0,7,18,27,True,False,False,urbana,1.1,True
2025-09-01 07:39:00,1,Alcalde Díaz-Transístmica-Directo-Albrook,Lunes,0,7,15,60,True,False,False,urbana,1.1,True
2025-09-01 07:54:00,1,Alcalde Díaz-Transístmica-Directo-Albrook,Lunes,0,7,17,60,True,False,False,urbana,1.1,True
2025-09-01 08:11:00,1,Alcalde Díaz-Transístmica-Directo-Albrook,Lunes,0,8,11,24,True,False,False,urbana,1.1,True
2025-09-01 08:22:00,1,Alcalde Díaz-Transístmica-Directo-Albrook,Lunes,0,8,8,30,True,False,False,urbana,1.1,False
2025-09-01 08:30:00,1,Alcalde Díaz-Transístmica-Directo-Albrook,Lunes,0,8,7,3,True,False,False,urbana,1.1,False
2025-09-01 08:37:00,1,Alcalde Díaz-Transístmica-Directo-Albrook,Lunes,0,8,9,34,True,False,False,urbana,1.1,False
2025-09-01 08:46:00,1,Alcalde Díaz-Transístmica-Directo-Albrook,Lunes,0,8,5,49,True,False,False,urbana,1.1,False
2025-09-01 08:51:00,1,Alcalde Díaz-Transístmica-Directo-Albrook,Lunes,0,8,7,50,True,False,False,urbana,1.1,False
2025-09-01 08:58:00,1,Alcalde Díaz-Transístmica-Directo-Albrook,Lunes,0,8,8,34,True,False,False,urbana,1.1,False
2025-09-01 09:06:00,1,Alcalde Díaz-Transístmica-Directo-Albrook,Lunes,0,9,6,30,True,False,False,urbana,1.1,False
2025-09-01 09:12:00,1,Alcalde Díaz-Transístmica-Directo-Albrook,Lunes,0,9,5,53,True,False,False,urbana,1.1,False
2025-09-01 09:17:00,1,Alcalde Díaz-Transístmica-Directo-Albrook,Lunes,0,9,9,35,True,False,False,urbana,1.1,False
2025-09-01 09:26:00,1,Alcalde Díaz-Transístmica-Directo-Albrook,Lunes,0,9,7,4,True,False,False,urbana,1.1,False
2025-09-01 09:33:00,1,Alcalde Díaz-Transístmica-Directo-Albrook,Lunes,0,9,8,60,True,False,False,urbana,1.1,False
2025-09-01 09:41:00,1,Alcalde Díaz-Transístmica-Directo-Albrook,Lunes,0,9,6,60,True,False,False,urbana,1.1,False
2025-09-01 09:47:00,1,Alcalde Díaz-Transístmica-Directo-Albrook,Lunes,0,9,8,33,True,False,False,urbana,1.1,False
2025-09-01 09:55:00,1,Alcalde Díaz-Transístmica-Directo-Albrook,Lunes,0,9,6,55,True,False,False,urbana,1.1,False
2025-09-01 10:01:00,1,Alcalde Díaz-Transístmica-Directo-Albrook,Lunes,0,10,23,11,False,False,False,urbana,1.1,True
2025-09-01 10:24:00,1,Alcalde Díaz-Transístmica-Directo-Albrook,Lunes,0,10,17,40,False,False,False,urbana,1.1,True
